종목명,금일종가,ATR,ATR/금일종가
3S,2715,45.,0.01657459
AJ네트웍스,4140.,101.33333333,0.02447665
AJ렌터카,11950,270.,0.02259414
AK홀딩스,31600,953.33333333,0.03016878
APS홀딩스,9830,420.,0.04272635
AP시스템,28200,980.,0.03475177
AP위성,6740,170.,0.02522255
BGF,5620,123.33333333,0.02194543
BGF리테일,169000,4133.33333333,0.02445759
BNK금융지주,7140,176.,0.02464986
BYC,241000,4533.33333333,0.01881051
BYC우,126500,1166.66666667,0.00922266
CJ,93800.,2033.33333333,0.02167733
CJ CGV,36400,936.66666667,0.0257326
CJ ENM,154500,2200.,0.01423948
CJ4우(전환),71000,900.,0.01267606
CJ대한통운,154000.,3633.33333333,0.02359307
CJ씨푸드,2700,79.33333333,0.02938272
CJ씨푸드1우,30300,1000.,0.0330033
CJ우,42350,733.33333333,0.01731602
CJ제일제당,246500.,6033.33333333,0.024476
CJ제일제당 우,104000.,2573.33333333,0.02474359
CJ프레시웨이,27600,550.,0.01992754
CJ헬로,6100,252.,0.04131148
CMG제약,4050,90.,0.02222222
CNH,2080,75.,0.03605769
CS,2605,100.,0.03838772
CS홀딩스,58000,980.,0.01689655
DB,765.,23.,0.03006536
DB금융스팩6호,2025,15.,0.00740741
DB금융스팩7호,2030,25.,0.01231527
DB금융투자,4295,64.,0.01490105
DB손해보험,57000,1853.33333333,0.03251462
DB하이텍,19000,1050.,0.05526316
DB하이텍1우,39100,9256.66666667,0.23674339
DGB금융지주,7110,116.,0.01631505
DI동일,72600,1380.,0.01900826
DMS,5390,150.,0.02782931
DRB동일,5350,134.,0.02504673
DSC인베스트먼트,3145,108.33333333,0.03444621
DSR,4275,163.,0.03812865
DSR제강,4430.,154.33333333,0.03483822
E1,48000.,586.66666667,0.01222222
EDGC,5270,150.,0.028463
EG,8630,150.,0.01738123
F&F,111500.,4600.,0.04125561
GH신소재,3090,60.,0.01941748
GKL,19650,380.,0.01933842
GS,48300,840.,0.0173913
GST,10050,190.,0.01890547
GS건설,29700,690.,0.02323232
GS글로벌,2245,37.,0.01648107
GS리테일,37950,813.33333333,0.02143171
GS우,36950,290.,0.00784844
GS홈쇼핑,150000,2566.66666667,0.01711111
GV,2715,195.,0.0718232
HB테크놀러지,2740,80.,0.02919708
HDC,11350,313.33333333,0.02760646
HDC아이콘트롤스,10400.,386.66666667,0.03717949
HDC현대EP,4390,132.66666667,0.0302202
HDC현대산업개발,27350,683.33333333,0.02498477
HRS,2735,50.,0.01828154
HSD엔진,4220,182.,0.04312796
IBKS제10호스팩,2060,25.,0.01213592
IBKS제11호스팩,2015,10.,0.00496278
IBKS제12호스팩,2050,5.,0.00243902
IBKS제7호스팩,2055,25.,0.01216545
IHQ,1690,52.,0.03076923
ISC,9540,430.,0.04507338
ITX엠투엠,1735,265.,0.15273775
JB금융지주,5390,80.,0.0148423
JTC,8120,110.,0.0135468
JW생명과학,18400,440.,0.02391304
JW신약,4830,120.,0.02484472
JW중외제약,30800,973.33333333,0.03160173
JW중외제약2우B,40400,3576.66666667,0.08853135
JW중외제약우,26300,1473.33333333,0.05602028
JW홀딩스,6700,196.,0.02925373
JYP Ent.,23000,450.,0.01956522
KBI메탈,1695,120.,0.07079646
KB금융,45950,1036.66666667,0.02256075
KB오토시스,6040,144.66666667,0.02395143
KCC,224000,6633.33333333,0.0296131
KCC건설,6510,130.,0.01996928
KCI,10250,200.,0.0195122
KCTC,2765,59.66666667,0.02157926
KC그린홀딩스,4450,144.,0.03235955
KC산업,2355,163.33333333,0.06935598
KC코트렐,7100,190.66666667,0.02685446
KEC,973,20.13333333,0.02069202
KG ETS,3360,55.,0.01636905
KG모빌리언스,6270,100.,0.01594896
KG이니시스,15950,600.,0.03761755
KG케미칼,11400,303.33333333,0.02660819
KH바텍,21600,2050.,0.09490741
KISCO홀딩스,12950,300.,0.02316602
KMH,5300,80.,0.01509434
KMH하이텍,1230,35.,0.02845528
KNN,1210,30.,0.02479339
KPX생명과학,10750,1690.,0.1572093
KPX케미칼,58300,1173.33333333,0.02012579
KPX홀딩스,54600,513.33333333,0.00940171
KR모터스,299,22.06666667,0.07380156
KSS해운,7620,142.,0.01863517
KT,26850,213.33333333,0.00794538
KT&G,97500.,960.,0.00984615
KTB투자증권,2315.,58.33333333,0.02519798
KTH,5300,370.,0.06981132
KTcs,2175,37.,0.01701149
KTis,2290,33.66666667,0.0147016
KT서브마린,4705.,301.66666667,0.06411619
LF,18000,426.66666667,0.0237037
LG,72100.,1873.33333333,0.02598243
LG디스플레이,14950,503.33333333,0.03366778
LG상사,15050,310.,0.02059801
LG생활건강,1258000,25266.66666667,0.02008479
LG생활건강우,750000,12066.66666667,0.01608889
LG우,47000,1103.33333333,0.02347518
LG유플러스,13600,273.33333333,0.02009804
LG이노텍,123000,3566.66666667,0.02899729
LG전자,70300,1093.33333333,0.01555239
LG전자우,28300.,400.,0.01413428
LG하우시스,57100,1140.,0.01996497
LG하우시스우,27900,430.,0.01541219
LG화학,309000.,5900.,0.01909385
LG화학우,167000.,3166.66666667,0.01896208
LIG넥스원,34650.,923.33333333,0.02664743
LS,44450,806.66666667,0.01814773
LS네트웍스,2255.,72.66666667,0.03222469
LS산전,50900,1006.66666667,0.01977734
LS전선아시아,7780,150.,0.01928021
MH에탄올,6250,132.,0.02112
MP한강,920,30.,0.0326087
NAVER,171500,4133.33333333,0.02410107
NEW,3895,100.,0.02567394
NE능률,3355,120.,0.03576751
NHN,67300,1846.66666667,0.02743933
NHN벅스,5440,170.,0.03125
NHN한국사이버결제,22250,700.,0.03146067
NH투자증권,12400,220.,0.01774194
NH투자증권우,9120.,65.33333333,0.00716374
NH프라임리츠,6300,249.33333333,0.03957672
NICE,20100,443.33333333,0.02205638
NICE평가정보,12950,250.,0.01930502
NI스틸,2125,62.66666667,0.0294902
NPC,3845,69.33333333,0.01803208
NPC우,2310,13.,0.00562771
OCI,62500,1313.33333333,0.02101333
PN풍년,2225,45.,0.02022472
POSCO,232000,4766.66666667,0.02054598
RFHIC,35200,750.,0.02130682
S&K폴리텍,8360,560.,0.06698565
S&TC,18100.,393.33333333,0.02173112
S&T모티브,40750,1343.33333333,0.03296524
S&T중공업,6760.,267.33333333,0.03954635
S&T홀딩스,15050,450.,0.02990033
S-Oil,88600.,1966.66666667,0.02219714
S-Oil우,53100,880.,0.0165725
SBI인베스트먼트,682,13.,0.01906158
SBI핀테크솔루션즈,10300,250.,0.02427184
SBS,17600,696.66666667,0.03958333
SBS미디어홀딩스,1980,55.33333333,0.02794613
SBS콘텐츠허브,5270,60.,0.0113852
SCI평가정보,2530,50.,0.01976285
SDN,2700,245.,0.09074074
SFA반도체,3655.,204.66666667,0.05599635
SG,2280,85.,0.0372807
SG&G,1825,35.,0.01917808
SGA,683,9.,0.01317716
SGA솔루션즈,1130,75.,0.06637168
SG세계물산,870,25.,0.02873563
SG충방,1785,53.,0.02969188
SH에너지화학,1015.,20.2,0.01990148
SIMPAC,3020,83.,0.02748344
SJM,3875,154.,0.03974194
SJM홀딩스,3270,51.,0.01559633
SK,256000,5400.,0.02109375
SK4호스팩,2045,10.,0.00488998
SK5호스팩,2010,5.,0.00248756
SKC,48500.,1553.33333333,0.03202749
SKC 솔믹스,3560,115.,0.03230337
SKC코오롱PI,34100,650.,0.01906158
SK가스,85800,1426.66666667,0.01662782
SK네트웍스,5720,102.66666667,0.01794872
SK네트웍스우,77100,2433.33333333,0.03156074
SK디스커버리,25700,820.,0.03190661
SK디스커버리우,17150,866.66666667,0.0505345
SK디앤디,29650.,580.,0.01956155
SK머티리얼즈,192000,2500.,0.01302083
SK바이오랜드,21350,750.,0.03512881
SK우,175500,11800.,0.06723647
SK이노베이션,147500,2900.,0.01966102
SK이노베이션우,112000.,1966.66666667,0.01755952
